,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
103,"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon  Manoj M ",https://www.youtube.com/watch?v=_iktURk0X-A,https://www.youtube.com/embed/_iktURk0X-A,_iktURk0X-A,0,1,0,1,0,0,0
104,O Saathi | Baaghi 2 ,https://www.youtube.com/watch?v=YuXLN23ZGQo,https://www.youtube.com/embed/YuXLN23ZGQo,YuXLN23ZGQo,1,0,0,0,0,1,1
105,Zaalima| Raees ,https://www.youtube.com/watch?v=0nVXsjF34BA,https://www.youtube.com/embed/0nVXsjF34BA,0nVXsjF34BA,1,0,1,0,0,0,1
106,"Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan Katrina Kaif | Atif Aslam | Vishal & Shekhar ",https://www.youtube.com/watch?v=SAcpESN_Fk4,https://www.youtube.com/embed/SAcpESN_Fk4,SAcpESN_Fk4,1,0,0,0,1,1,1
107,Teri Mitti - Lyrical | Kesari | Akshay Kumar & Parineeti Chopra | Arko | B Praak| Manoj Muntashir ,https://www.youtube.com/watch?v=tionpZAVPd4,https://www.youtube.com/embed/tionpZAVPd4,tionpZAVPd4,1,0,0,1,0,0,1
108,"Lo Safar (From ""Baaghi 2"") ",https://www.youtube.com/watch?v=bFgIPzC68Mk,https://www.youtube.com/embed/bFgIPzC68Mk,bFgIPzC68Mk,1,0,1,0,0,0,1
109,Yeh Haseen Vadiyan | Roja | A.R. Rahman ,https://www.youtube.com/watch?v=z-vcE-UTc-0,https://www.youtube.com/embed/z-vcE-UTc-0,z-vcE-UTc-0,1,0,0,1,0,1,1
110,"Duniyaa (From ""Luka Chuppi"") ",https://www.youtube.com/watch?v=h3EuilWNquo,https://www.youtube.com/embed/h3EuilWNquo,h3EuilWNquo,1,0,1,0,0,0,1
111,"Sanu Ek Pal (From ""Raid"") ",https://www.youtube.com/watch?v=8HRLn62jWr8,https://www.youtube.com/embed/8HRLn62jWr8,8HRLn62jWr8,1,0,1,0,1,1,1
112,Mere Samne Wali Khidki Mein | Ashish Patil | Padosan | Kishore Kumar | Cover | 2018 HD ,https://www.youtube.com/watch?v=GtQstf_sGr4,https://www.youtube.com/embed/GtQstf_sGr4,GtQstf_sGr4,1,1,1,1,1,1,1
113,Gulabi Aankhen | Sanam ,https://www.youtube.com/watch?v=hgi2MYAFgE8,https://www.youtube.com/embed/hgi2MYAFgE8,hgi2MYAFgE8,1,0,1,0,1,0,1
114,Srivalli ,https://www.youtube.com/watch?v=iks48tNYy6o,https://www.youtube.com/embed/iks48tNYy6o,iks48tNYy6o,1,0,1,0,1,0,1
115,"SAB TERA Full Song (Audio) | BAAGHI | Tiger Shroff Shraddha Kapoor | Armaan Malik | Amaal Mallik ",https://www.youtube.com/watch?v=sZfnwayum2M,https://www.youtube.com/embed/sZfnwayum2M,sZfnwayum2M,1,0,0,0,0,1,1
116,Bhaag Milkha Bhaag Rock Version audio song ,https://www.youtube.com/watch?v=AShsrX8qvpI,https://www.youtube.com/embed/AShsrX8qvpI,AShsrX8qvpI,1,0,1,0,0,0,1
117,"Mitwa Full Video - KANK|Shahrukh Khan Rani Mukherjee|Shafqat Amanat Ali|Shankar Mahadevan ",https://www.youtube.com/watch?v=ru_5PA8cwkE,https://www.youtube.com/embed/ru_5PA8cwkE,ru_5PA8cwkE,1,0,1,1,1,0,1
118,"Tu Banja Gali Benaras Ki | Asees Kaur | Shaadi Mein Zaroor Aana | Rajkummar Rao  Kriti Kharbanda ",https://www.youtube.com/watch?v=pgc3J2hBBEU,https://www.youtube.com/embed/pgc3J2hBBEU,pgc3J2hBBEU,1,0,0,0,0,1,1
119,Befikra,https://www.youtube.com/watch?v=VjHv1aXn2F0,https://www.youtube.com/embed/VjHv1aXn2F0,VjHv1aXn2F0,1,0,1,0,1,0,1
120,"Tu Mohabbat Hai Lyrical - Tere Naal Love Ho Gaya | Atif Aslam Monali Priya | Riteish Genelia ",https://www.youtube.com/watch?v=mc0eVgtuxd0,https://www.youtube.com/embed/mc0eVgtuxd0,mc0eVgtuxd0,1,0,0,0,1,1,1
121,"Bol Na Halke Halke (AUDIO) - Jhoom Barabar Jhoom | Abhishek Preity | Shankar-Ehsaan-Loy Gulzar ",https://www.youtube.com/watch?v=VVKV9nCAtNA,https://www.youtube.com/embed/VVKV9nCAtNA,VVKV9nCAtNA,1,0,1,0,1,1,1
122,Sapna Jahan - Lyric Video | Brothers | Akshay Kumar | Jacqueline Fernandez ,https://www.youtube.com/watch?v=Uvj827SqHak,https://www.youtube.com/embed/Uvj827SqHak,Uvj827SqHak,1,0,0,1,1,0,1
123,Main Rahoon Ya Na Rahoon,https://www.youtube.com/watch?v=Dp6lbdoprZ0,https://www.youtube.com/embed/Dp6lbdoprZ0,Dp6lbdoprZ0,1,0,0,0,1,0,1
124,Tera Zikr - Darshan Raval | Official Video - Latest New Hit Song ,https://www.youtube.com/watch?v=eK0IIyBlYew,https://www.youtube.com/embed/eK0IIyBlYew,eK0IIyBlYew,0,1,0,1,1,0,0
125,"SANAM RE Title Song FULL VIDEO | Pulkit Samrat Yami Gautam Urvashi Rautela | Divya Khosla Kumar ",https://www.youtube.com/watch?v=DS-raAyMxl4,https://www.youtube.com/embed/DS-raAyMxl4,DS-raAyMxl4,1,0,0,0,0,1,1
126,Tere Bina Zindagi Se | Sanam ,https://www.youtube.com/watch?v=OsXUsTZRpZA,https://www.youtube.com/embed/OsXUsTZRpZA,OsXUsTZRpZA,0,1,0,1,1,0,0
127,"Dil Mein Ho Tum| WHY CHEAT INDIA | Emraan H Shreya D|Rochak K Armaan M Bappi L Manoj M ",https://www.youtube.com/watch?v=byitAI7kkOM,https://www.youtube.com/embed/byitAI7kkOM,byitAI7kkOM,1,0,1,0,0,1,1
